"Year","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"1993","Exports","British Columbia","Total","2907334.6500","106458344.8200","36.62"
"1993","Exports","British Columbia","Washington","1801202.0300","64706196.4300","35.92"
"1993","Exports","Manitoba","Minnesota","6707833.0410","185694087.7500","18.25"
"1993","Exports","Manitoba","North Dakota","1116260.0000","18648901.7200","15.94"
"1993","Exports","Manitoba","Total","7824093.0410","204342989.4700","17.92"
"1993","Exports","New Brunswick","Maine","1014586.2770","42436194.9400","40.80"
"1993","Exports","New Brunswick","Massachusetts","763896.0000","38002319.0000","49.75"
"1993","Exports","New Brunswick","Total","1778482.2770","80438513.9400","44.64"
"1993","Exports","Ontario","Michigan","2419889.2460","63896262.6800","24.78"
"1993","Exports","Ontario","Minnesota","3040.0000","77042.0700","3.98"
"1993","Exports","Ontario","New York","2427506.7080","60046677.4900","24.53"
"1993","Exports","Ontario","Total","4964086.9540","131607521.4800","24.63"
"1993","Exports","Ontario","Vermont","113651.0000","7587539.2400","24.14"
"1993","Exports","Québec","Maine","1227.9100","89546.2000","72.93"
"1993","Exports","Québec","New England-ISO","6454550.0000","141823387.5500","21.97"
"1993","Exports","Québec","New York","3340709.0000","95244620.7200","24.74"
"1993","Exports","Québec","Total","11706694.9100","331426670.2400","23.49"
"1993","Exports","Québec","Vermont","1910208.0000","94269115.7700","26.40"
"1993","Exports","Saskatchewan","North Dakota","183528.0000","3452731.6100","18.81"
"1993","Exports","Saskatchewan","Total","183528.0000","3452731.6100","18.81"
"1993","Exports","Total","Alaska","1321.6200","79307.4800","60.01"
"1993","Exports","Total","California","19239.0000","761283.9900","39.57"
"1993","Exports","Total","Maine","1015814.1870","42525741.1400","40.84"
"1993","Exports","Total","Massachusetts","763896.0000","38002319.0000","49.75"
"1993","Exports","Total","Michigan","2419889.2460","63896262.6800","24.78"
"1993","Exports","Total","Minnesota","6710873.0410","185771129.8200","18.25"
"1993","Exports","Total","Montana","3040.0000","120129.9100","39.52"
"1993","Exports","Total","Nevada","1049.0000","34813.0000","33.19"
"1993","Exports","Total","New England-ISO","6454550.0000","141823387.5500","21.97"
"1993","Exports","Total","New York","5768215.7080","155291298.2100","24.65"
"1993","Exports","Total","North Dakota","1299788.0000","22101633.3300","16.35"
"1993","Exports","Total","Oregon","1081483.0000","40756614.0100","37.69"
"1993","Exports","Total","Total","29364219.8320","857726771.5600","24.75"
